Project Number,Project Title,Location,MIS Program,Capability Sponsor,CBPL Score,Rank Score,Cost,Must Fund FY21,Must Fund FY22,Must Fund FY23,Must Fund FY24,Must Fund FY25,NET FY21,NET FY22,NET FY23,NET FY24,NET FY25,Desired FY,Stability,PDS,PDS_DOL,PND1,PND1_DOL,PND2,PND2_DOL,CEQOM,CEQOM_DOL,CEQPROC,CEQPROC_DOL,C4IOM,C4IOM_DOL,C4IPROC,C4IPROC_DOL
SWC1706,SOF FOB Freedom Upgrades,"FT BRAGG, NC",SWCS,USASOC,9.862320627,76.73469388,11000,0,0,0,0,0,0,1,1,1,1,22,0,-3,125,-2,660,-1,440,2,880,1,0,2,165,1,385
SWC1707,SOF Tactical Equipment Maintenance Facility,"FT BRAGG, NC",SWCS,USASOC,9.862320627,15.51020408,3000,0,0,0,0,0,0,0,0,0,0,29,0,-3,125,-2,180,-1,120,2,240,1,30,2,45,1,105
SWC1708,"SOF Airborne Staging Facility, MAAF","FT BRAGG, NC",SWCS,USASOC,9.862320627,1.224489796,3000,0,0,0,0,0,0,0,0,0,0,31,0,-3,125,-2,180,-1,120,2,240,1,240,2,45,1,105
SWC30,SOF Storage Warehouse ,"FT BRAGG, NC",SWCS,USASOC,9.862320627,8.163265306,3700,0,0,0,0,0,0,0,0,0,0,30,0,-3,125,-2,222,-1,148,2,296,1,296,2,55.5,1,129.5
SWC31,SOF Parking Deck Bryant Hall,"FT BRAGG, NC",SWCS,USASOC,9.862320627,1.632653061,15100,0,0,0,0,0,0,0,0,0,0,31,0,-3,250,-2,906,-1,604,2,1208,1,0,2,226.5,1,528.5
SWC40,SOF Combat Diving Training Tank,"NAS Key West, FL",SWCS,USASOC,9.862320627,6.93877551,46800,0,0,0,0,0,0,0,0,0,0,30,0,-3,375,-2,2808,-1,1872,2,3276,1,468,2,702,1,1638
SWC41,Renovate KW100,"NAS Key West, FL",SWCS,USASOC,9.862320627,2.448979592,5300,0,0,0,0,0,0,0,0,0,0,31,0,-3,125,-2,318,-1,212,2,424,1,0,2,79.5,1,185.5
SWC47,SOF Combat Divers Training Support Facility,"NAS Key West, FL",SWCS,USASOC,9.862320627,18.36734694,14700,0,0,0,0,0,0,0,0,0,0,29,0,-3,125,-2,882,-1,588,2,1176,1,1176,2,220.5,1,514.5
SWC48,SOF Consolidated Divers Tng Facilty,"NAS Key West, FL",SWCS,USASOC,9.862320627,2.857142857,37900,0,0,0,0,0,0,0,0,0,0,31,0,-3,375,-2,2274,-1,1516,2,3032,1,3032,2,568.5,1,1326.5
SWC50,"SOF Surgical Strike Training Complex, Phase I","FT BRAGG, NC",SWCS,USASOC,9.862320627,22.44897959,9000,0,0,0,0,0,0,0,0,0,0,28,0,-3,125,-2,540,-1,360,2,720,1,720,2,135,1,315
SWC51,"SOF Surgical Strike Training Complex, Phase II","FT BRAGG, NC",SWCS,USASOC,9.862320627,21.2244898,23000,0,0,0,0,0,0,0,0,0,0,28,0,-3,250,-2,1380,-1,920,2,1840,1,1840,2,345,1,805
TBD1,SOF JMWC Facility,"MacDill AFB, FL",HQSOCOM,HQSOCOM,47.49760876,95.10204082,40000,0,0,1,0,0,0,1,1,1,1,23,0,-3,375,-2,2400,-1,1600,2,5000,1,2000,2,6000,1,8000
TBD2,Joint Communicaitons Training Facility,"FT BRAGG, NC",CDA-J1,JSOC,95.25308231,37.14285714,21900,0,0,0,0,0,0,0,0,0,1,26,0,-3,250,-2,1314,-1,876,2,,1,,2,,1,
TBD3,SOF Operations Facility,"Lubliniec, Poland",SOCEUR,SOCEUR,42.37717471,0,13000,0,0,0,0,0,0,0,0,0,0,24,0,-3,125,-2,780,-1,520,2,,1,,2,,1,
